Sample #	Type
189	1
425	1
659	1
889	1
1113	1
1336	1
1553	1
1773	1
1999	1
2236	1
2476	1
2705	1
2934	1
3164	1
3389	1
3618	1
3844	1
4060	1
4292	1
4528	1
4767	1
5009	1
5246	1
5479	1
5701	1
5927	1
6145	1
6375	1
6620	1
6864	1
7105	1
7340	1
7570	1
7802	1
8039	1
8261	1
8492	1
8726	1
8966	1
9203	1
9430	1
9666	1
9905	1
10137	1
10373	1
10599	1
10843	1
11099	1
11352	1
11594	1
11829	1
12066	1
12302	1
12528	1
12757	1
13005	1
13246	1
13487	1
13719	1
13952	1
14186	1
14412	1
14638	1
14848	1
15075	1
15316	1
15552	1
15780	1
16018	1
16246	1
16472	1
16690	1
16910	1
17145	1
17380	1
17617	1
17847	1
18075	1
18302	1
18522	1
18748	1
18973	1
19148	0
19404	1
19639	1
19873	1
20107	1
20334	1
20558	1
20780	1
20996	1
21211	1
21432	1
21666	1
21911	1
22158	1
22388	1
22617	1
22838	1
23064	1
23291	1
23502	1
23730	1
23958	1
24169	1
24417	1
24641	1
24871	1
25096	1
25313	1
25496	0
25736	1
25968	1
26207	1
26443	1
26671	1
26891	1
27116	1
27338	1
27553	1
27762	1
27985	1
28218	1
28451	1
28678	1
28902	1
29131	1
29357	1
29574	1
29784	1
29999	1
30223	1
30457	1
30691	1
30922	1
31154	1
31383	1
31611	1
31834	1
32057	1
32300	1
32545	1
32788	1
33028	1
33260	1
33493	1
33720	1
33920	1
34170	1
34389	1
34621	1
34856	1
35097	1
35332	1
35558	1
35782	1
36001	1
36170	0
36407	1
36641	1
36877	1
37116	1
37341	1
37572	1
37794	1
38016	1
38243	1
38461	1
38675	1
38897	1
39129	1
39364	1
39586	1
39811	1
40039	1
40258	1
40477	1
40684	1
40907	1
41142	1
41377	1
41610	1
41833	1
42057	1
42276	1
42451	0
42709	1
42931	1
43171	1
43415	1
43642	1
43887	1
44122	1
44357	1
44581	1
44803	1
45014	1
45238	1
45467	1
45702	1
45936	1
46165	1
46387	1
46607	1
46827	1
47050	1
47269	1
47498	1
47738	1
47968	1
48198	1
48427	1
48656	1
48883	1
49110	1
49324	1
49552	1
49781	1
50017	1
50258	1
50486	1
50715	1
50936	1
51161	1
51385	1
51597	1
51835	1
52080	1
52318	1
52553	1
52779	1
53006	1
53231	1
53410	0
53650	1
53870	1
54094	1
54184	0
54320	1
54547	1
54772	1
55000	1
55228	1
55447	1
55667	1
55876	1
56106	1
56218	0
56346	1
56577	1
56745	0
56985	1
57214	1
57435	1
57651	1
57863	1
58087	1
58317	1
58550	1
58782	1
59011	1
59237	1
59467	1
59689	1
59909	1
60120	1
60344	1
60580	1
60817	1
61055	1
61290	1
61515	1
61739	1
61962	1
62192	1
62422	1
62662	1
62907	1
63148	1
63384	1
63622	1
63860	1
64096	1
64330	1
64548	1
64782	1
65018	1
65256	1
65499	1
65728	1
65955	1
66174	1
66396	1
66613	1
66840	1
67080	1
67324	1
67554	1
67781	1
68010	1
68240	1
68469	1
68690	1
68908	1
69135	1
69367	1
69556	0
69816	1
70045	1
70277	1
70496	1
70712	1
70920	1
71147	1
71392	1
71635	1
71876	1
72104	1
72338	1
72569	1
72792	1
73021	1
73246	1
73478	1
73717	1
73949	1
74181	1
74413	1
74641	1
74870	1
75088	1
75298	1
75531	1
75767	1
76007	1
76250	1
76481	1
76716	1
76938	1
77163	1
77392	1
77612	1
77847	1
78078	1
78313	1
78546	1
78769	1
78993	1
79215	1
79426	1
79633	1
79848	1
80075	1
80305	1
80531	1
80747	1
80963	1
81175	1
81387	1
81602	1
81808	1
82030	1
82265	1
82492	1
82718	1
82932	1
83150	1
83369	1
83582	1
83793	1
83992	1
84213	1
84441	1
84663	1
84891	1
85112	1
85335	1
85547	1
85748	1
85970	1
86182	1
86413	1
86643	1
86875	1
87092	1
87309	1
87530	1
87744	1
87962	1
88180	1
88393	1
88618	1
88843	1
89069	1
89298	1
89436	0
89521	1
89736	1
89950	1
90162	1
90365	1
90577	1
90793	1
91018	1
91239	1
91451	1
91660	1
91867	1
92073	1
92278	1
92487	1
92683	1
92894	1
93045	0
93285	1
93502	1
93705	1
93785	0
93914	1
94118	1
94325	1
94525	1
94717	1
94916	1
95088	0
95331	1
95549	1
95753	1
95957	1
96121	0
96344	1
96540	1
96733	1
96925	1
97127	1
97339	1
97544	1
97752	1
97949	1
98147	1
98349	1
98552	1
98746	1
98940	1
99121	1
99324	1
99531	1
99737	1
99941	1
100142	1
100347	1
100542	1
100738	1
100927	1
101117	1
101306	1
101510	1
101711	1
101915	1
102112	1
102308	1
102500	1
102697	1
102885	1
103078	1
103269	1
103455	1
103651	1
103844	1
104050	1
104255	1
104457	1
104658	1
104853	1
105045	1
105233	1
105425	1
105611	1
105807	1
106011	1
106216	1
106425	1
106618	1
106815	1
107007	1
107198	1
107341	0
107546	1
107737	1
107942	1
108142	1
108342	1
108537	1
108741	1
108933	1
109131	1
109322	1
109514	1
109702	1
109881	1
110021	0
110231	1
110444	1
110657	1
110853	1
111045	1
111236	1
111428	1
111619	1
111807	1
111990	1
112185	1
112390	1
112541	0
112749	1
112954	1
113149	1
113347	1
113545	1
113736	1
113929	1
114112	1
114298	1
114495	1
114700	1
114901	1
115107	1
115305	1
115507	1
115704	1
115900	1
116090	1
116281	1
116484	1
116692	1
116902	1
117108	1
117317	1
117517	1
117722	1
117921	1
118090	0
118322	1
118516	1
118719	1
118927	1
119138	1
119351	1
119565	1
119770	1
119976	1
120168	1
120364	1
120565	1
120759	1
120969	1
121177	1
121392	1
121597	1
121796	1
121992	1
122188	1
122251	0
122332	0
122569	1
122761	1
122954	1
123150	1
123361	1
123568	1
123771	1
123972	1
124130	0
124365	1
124561	1
124756	1
124942	1
125086	0
125303	1
125518	1
125723	1
125928	1
126077	0
126284	1
126485	1
126683	1
126873	1
127067	1
127260	1
127467	1
127671	1
127845	1
128068	1
128268	1
128471	1
128670	1
128805	0
129033	1
129224	1
129409	1
129612	1
129814	1
130026	1
130235	1
130437	1
130594	0
130820	1
131014	1
131206	1
131397	1
131595	1
131797	1
132006	1
132203	1
132406	1
132600	1
132797	1
132957	0
133181	1
133379	1
133567	1
133762	1
133963	1
134170	1
134380	1
134579	1
134787	1
134991	1
135183	1
135378	1
135537	0
135752	1
135952	1
136160	1
136370	1
136576	1
136780	1
136977	1
137171	1
137366	1
137566	1
137758	1
137906	0
138129	1
138331	1
138535	1
138740	1
138888	0
139102	1
139306	1
139508	1
139699	1
139890	1
140069	1
140263	1
140459	1
140673	1
140872	1
141075	1
141262	1
141428	0
141643	1
141837	1
142030	1
142126	0
142217	1
142373	0
142608	1
142820	1
143024	1
143226	1
143428	1
143638	1
143835	1
144019	1
144225	1
144414	1
144615	1
144824	1
145031	1
145244	1
145456	1
145658	1
145860	1
146059	1
146260	1
146464	1
146666	1
146879	1
147104	1
147319	1
147537	1
147753	1
147966	1
148123	0
148380	1
148600	1
148804	1
149021	1
149238	1
149464	1
149692	1
149905	1
150122	1
150285	0
150528	1
150741	1
150940	1
151162	1
151387	1
151617	1
151724	0
151769	0
151902	0
152034	0
152165	0
152301	0
152435	0
152569	0
152703	0
152835	0
152967	0
153097	0
153229	0
153369	0
153510	0
153652	0
153797	0
153934	0
154072	0
154205	0
154347	0
154425	1
154644	1
154852	1
155054	1
155250	1
155466	1
155694	1
155853	0
155984	0
156201	1
156421	1
156638	1
156853	1
157073	1
157293	1
157513	1
157741	1
157981	1
158222	1
158458	1
158695	1
158923	1
159125	1
159368	1
159581	1
159815	1
160053	1
160291	1
160532	1
160755	1
160980	1
161204	1
161432	1
161657	1
161882	1
162118	1
162345	1
162595	1
162828	1
163063	1
163299	1
